team_code,first_name,last_name,email,username,password,ip,vpn_servers,online
ARE1,firstName,lastname,testing@email.com,ARE1,thisisyourpass,192.168.0.1,pop1:pop2,0
ARE2,firstName,lastname,testing@email.com,ARE2,thisisyourpass,192.168.0.2,pop1:pop2,1
ARE3,firstName,lastname,testing@email.com,ARE3,thisisyourpass,192.168.0.3,pop1:pop2,0
ARE4,firstName,lastname,testing@email.com,ARE4,thisisyourpass,192.168.0.4,pop1:pop2,0
ARG1,firstName,lastname,testing@email.com,ARG1,thisisyourpass,192.168.0.5,pop1:pop2,0
ARG2,firstName,lastname,testing@email.com,ARG2,thisisyourpass,192.168.0.6,pop1:pop2,1
ARG3,firstName,lastname,testing@email.com,ARG3,thisisyourpass,192.168.0.7,pop1:pop2,0
ARG4,firstName,lastname,testing@email.com,ARG4,thisisyourpass,192.168.0.8,pop1:pop2,1
ARM1,firstName,lastname,testing@email.com,ARM1,thisisyourpass,192.168.0.9,pop1:pop2,1
ARM2,firstName,lastname,testing@email.com,ARM2,thisisyourpass,192.168.0.10,pop1:pop2,1
ARM3,firstName,lastname,testing@email.com,ARM3,thisisyourpass,192.168.0.11,pop1:pop2,0
ARM4,firstName,lastname,testing@email.com,ARM4,thisisyourpass,192.168.0.12,pop1:pop2,0
AUS1,firstName,lastname,testing@email.com,AUS1,thisisyourpass,192.168.0.13,pop1:pop2,0
AUS2,firstName,lastname,testing@email.com,AUS2,thisisyourpass,192.168.0.14,pop1:pop2,1
AUS3,firstName,lastname,testing@email.com,AUS3,thisisyourpass,192.168.0.15,pop1:pop2,1
AUS4,firstName,lastname,testing@email.com,AUS4,thisisyourpass,192.168.0.16,pop1:pop2,1
AUT1,firstName,lastname,testing@email.com,AUT1,thisisyourpass,192.168.0.17,pop1:pop2,1
AUT2,firstName,lastname,testing@email.com,AUT2,thisisyourpass,192.168.0.18,pop1:pop2,1
AUT3,firstName,lastname,testing@email.com,AUT3,thisisyourpass,192.168.0.19,pop1:pop2,0
AUT4,firstName,lastname,testing@email.com,AUT4,thisisyourpass,192.168.0.20,pop1:pop2,1
AZE1,firstName,lastname,testing@email.com,AZE1,thisisyourpass,192.168.0.21,pop1:pop2,0
AZE2,firstName,lastname,testing@email.com,AZE2,thisisyourpass,192.168.0.22,pop1:pop2,1
AZE3,firstName,lastname,testing@email.com,AZE3,thisisyourpass,192.168.0.23,pop1:pop2,1
AZE4,firstName,lastname,testing@email.com,AZE4,thisisyourpass,192.168.0.24,pop1:pop2,1
BEL1,firstName,lastname,testing@email.com,BEL1,thisisyourpass,192.168.0.25,pop1:pop2,1
BEL2,firstName,lastname,testing@email.com,BEL2,thisisyourpass,192.168.0.26,pop1:pop2,0
BEL3,firstName,lastname,testing@email.com,BEL3,thisisyourpass,192.168.0.27,pop1:pop2,0
BEL4,firstName,lastname,testing@email.com,BEL4,thisisyourpass,192.168.0.28,pop1:pop2,0
BGD1,firstName,lastname,testing@email.com,BGD1,thisisyourpass,192.168.0.29,pop1:pop2,1
BGD2,firstName,lastname,testing@email.com,BGD2,thisisyourpass,192.168.0.30,pop1:pop2,1
BGD3,firstName,lastname,testing@email.com,BGD3,thisisyourpass,192.168.0.31,pop1:pop2,1
BGD4,firstName,lastname,testing@email.com,BGD4,thisisyourpass,192.168.0.32,pop1:pop2,1
BGR1,firstName,lastname,testing@email.com,BGR1,thisisyourpass,192.168.0.33,pop1:pop2,1
BGR2,firstName,lastname,testing@email.com,BGR2,thisisyourpass,192.168.0.34,pop1:pop2,0
BGR3,firstName,lastname,testing@email.com,BGR3,thisisyourpass,192.168.0.35,pop1:pop2,0
BGR4,firstName,lastname,testing@email.com,BGR4,thisisyourpass,192.168.0.36,pop1:pop2,0
BIH1,firstName,lastname,testing@email.com,BIH1,thisisyourpass,192.168.0.37,pop1:pop2,1
BIH2,firstName,lastname,testing@email.com,BIH2,thisisyourpass,192.168.0.38,pop1:pop2,1
BIH3,firstName,lastname,testing@email.com,BIH3,thisisyourpass,192.168.0.39,pop1:pop2,0
BIH4,firstName,lastname,testing@email.com,BIH4,thisisyourpass,192.168.0.40,pop1:pop2,1
BLR1,firstName,lastname,testing@email.com,BLR1,thisisyourpass,192.168.0.41,pop1:pop2,1
BLR2,firstName,lastname,testing@email.com,BLR2,thisisyourpass,192.168.0.42,pop1:pop2,0
BLR3,firstName,lastname,testing@email.com,BLR3,thisisyourpass,192.168.0.43,pop1:pop2,0
BLR4,firstName,lastname,testing@email.com,BLR4,thisisyourpass,192.168.0.44,pop1:pop2,1
BOL1,firstName,lastname,testing@email.com,BOL1,thisisyourpass,192.168.0.45,pop1:pop2,0
BOL2,firstName,lastname,testing@email.com,BOL2,thisisyourpass,192.168.0.46,pop1:pop2,0
BOL3,firstName,lastname,testing@email.com,BOL3,thisisyourpass,192.168.0.47,pop1:pop2,1
BOL4,firstName,lastname,testing@email.com,BOL4,thisisyourpass,192.168.0.48,pop1:pop2,1
BOL5,firstName,lastname,testing@email.com,BOL5,thisisyourpass,192.168.0.49,pop1:pop2,1
BOL6,firstName,lastname,testing@email.com,BOL6,thisisyourpass,192.168.0.50,pop1:pop2,1
BOL7,firstName,lastname,testing@email.com,BOL7,thisisyourpass,192.168.0.51,pop1:pop2,1
BOL8,firstName,lastname,testing@email.com,BOL8,thisisyourpass,192.168.0.52,pop1:pop2,0
BRA1,firstName,lastname,testing@email.com,BRA1,thisisyourpass,192.168.0.53,pop1:pop2,0
BRA2,firstName,lastname,testing@email.com,BRA2,thisisyourpass,192.168.0.54,pop1:pop2,1
BRA3,firstName,lastname,testing@email.com,BRA3,thisisyourpass,192.168.0.55,pop1:pop2,0
BRA4,firstName,lastname,testing@email.com,BRA4,thisisyourpass,192.168.0.56,pop1:pop2,1
CAN1,firstName,lastname,testing@email.com,CAN1,thisisyourpass,192.168.0.57,pop1:pop2,1
CAN2,firstName,lastname,testing@email.com,CAN2,thisisyourpass,192.168.0.58,pop1:pop2,1
CAN3,firstName,lastname,testing@email.com,CAN3,thisisyourpass,192.168.0.59,pop1:pop2,1
CAN4,firstName,lastname,testing@email.com,CAN4,thisisyourpass,192.168.0.60,pop1:pop2,1
CHE1,firstName,lastname,testing@email.com,CHE1,thisisyourpass,192.168.0.61,pop1:pop2,1
CHE2,firstName,lastname,testing@email.com,CHE2,thisisyourpass,192.168.0.62,pop1:pop2,1
CHE3,firstName,lastname,testing@email.com,CHE3,thisisyourpass,192.168.0.63,pop1:pop2,0
CHE4,firstName,lastname,testing@email.com,CHE4,thisisyourpass,192.168.0.64,pop1:pop2,0
CHL1,firstName,lastname,testing@email.com,CHL1,thisisyourpass,192.168.0.65,pop1:pop2,1
CHL2,firstName,lastname,testing@email.com,CHL2,thisisyourpass,192.168.0.66,pop1:pop2,1
CHN1,firstName,lastname,testing@email.com,CHN1,thisisyourpass,192.168.0.67,pop1:pop2,0
CHN2,firstName,lastname,testing@email.com,CHN2,thisisyourpass,192.168.0.68,pop1:pop2,1
CHN3,firstName,lastname,testing@email.com,CHN3,thisisyourpass,192.168.0.69,pop1:pop2,1
CHN4,firstName,lastname,testing@email.com,CHN4,thisisyourpass,192.168.0.70,pop1:pop2,0
COL1,firstName,lastname,testing@email.com,COL1,thisisyourpass,192.168.0.71,pop1:pop2,0
COL2,firstName,lastname,testing@email.com,COL2,thisisyourpass,192.168.0.72,pop1:pop2,1
COL3,firstName,lastname,testing@email.com,COL3,thisisyourpass,192.168.0.73,pop1:pop2,1
COL4,firstName,lastname,testing@email.com,COL4,thisisyourpass,192.168.0.74,pop1:pop2,0
CUB1,firstName,lastname,testing@email.com,CUB1,thisisyourpass,192.168.0.75,pop1:pop2,0
CUB2,firstName,lastname,testing@email.com,CUB2,thisisyourpass,192.168.0.76,pop1:pop2,1
CUB3,firstName,lastname,testing@email.com,CUB3,thisisyourpass,192.168.0.77,pop1:pop2,1
CUB4,firstName,lastname,testing@email.com,CUB4,thisisyourpass,192.168.0.78,pop1:pop2,0
CYP1,firstName,lastname,testing@email.com,CYP1,thisisyourpass,192.168.0.79,pop1:pop2,1
CYP2,firstName,lastname,testing@email.com,CYP2,thisisyourpass,192.168.0.80,pop1:pop2,0
CYP3,firstName,lastname,testing@email.com,CYP3,thisisyourpass,192.168.0.81,pop1:pop2,0
CYP4,firstName,lastname,testing@email.com,CYP4,thisisyourpass,192.168.0.82,pop1:pop2,1
CZE1,firstName,lastname,testing@email.com,CZE1,thisisyourpass,192.168.0.83,pop1:pop2,0
CZE2,firstName,lastname,testing@email.com,CZE2,thisisyourpass,192.168.0.84,pop1:pop2,1
CZE3,firstName,lastname,testing@email.com,CZE3,thisisyourpass,192.168.0.85,pop1:pop2,0
CZE4,firstName,lastname,testing@email.com,CZE4,thisisyourpass,192.168.0.86,pop1:pop2,0
DEU1,firstName,lastname,testing@email.com,DEU1,thisisyourpass,192.168.0.87,pop1:pop2,0
DEU2,firstName,lastname,testing@email.com,DEU2,thisisyourpass,192.168.0.88,pop1:pop2,0
DEU3,firstName,lastname,testing@email.com,DEU3,thisisyourpass,192.168.0.89,pop1:pop2,0
DEU4,firstName,lastname,testing@email.com,DEU4,thisisyourpass,192.168.0.90,pop1:pop2,0
DNK1,firstName,lastname,testing@email.com,DNK1,thisisyourpass,192.168.0.91,pop1:pop2,0
DNK2,firstName,lastname,testing@email.com,DNK2,thisisyourpass,192.168.0.92,pop1:pop2,1
DNK3,firstName,lastname,testing@email.com,DNK3,thisisyourpass,192.168.0.93,pop1:pop2,0
DNK4,firstName,lastname,testing@email.com,DNK4,thisisyourpass,192.168.0.94,pop1:pop2,1
DOM1,firstName,lastname,testing@email.com,DOM1,thisisyourpass,192.168.0.95,pop1:pop2,0
DOM2,firstName,lastname,testing@email.com,DOM2,thisisyourpass,192.168.0.96,pop1:pop2,0
DOM3,firstName,lastname,testing@email.com,DOM3,thisisyourpass,192.168.0.97,pop1:pop2,0
DOM4,firstName,lastname,testing@email.com,DOM4,thisisyourpass,192.168.0.98,pop1:pop2,0
DZA1,firstName,lastname,testing@email.com,DZA1,thisisyourpass,192.168.0.99,pop1:pop2,1
DZA2,firstName,lastname,testing@email.com,DZA2,thisisyourpass,192.168.0.100,pop1:pop2,0
DZA3,firstName,lastname,testing@email.com,DZA3,thisisyourpass,192.168.0.101,pop1:pop2,1
DZA4,firstName,lastname,testing@email.com,DZA4,thisisyourpass,192.168.0.102,pop1:pop2,0
ECU1,firstName,lastname,testing@email.com,ECU1,thisisyourpass,192.168.0.103,pop1:pop2,0
ECU2,firstName,lastname,testing@email.com,ECU2,thisisyourpass,192.168.0.104,pop1:pop2,1
ECU3,firstName,lastname,testing@email.com,ECU3,thisisyourpass,192.168.0.105,pop1:pop2,1
ECU4,firstName,lastname,testing@email.com,ECU4,thisisyourpass,192.168.0.106,pop1:pop2,0
EGY1,firstName,lastname,testing@email.com,EGY1,thisisyourpass,192.168.0.107,pop1:pop2,1
EGY2,firstName,lastname,testing@email.com,EGY2,thisisyourpass,192.168.0.108,pop1:pop2,0
EGY3,firstName,lastname,testing@email.com,EGY3,thisisyourpass,192.168.0.109,pop1:pop2,1
EGY4,firstName,lastname,testing@email.com,EGY4,thisisyourpass,192.168.0.110,pop1:pop2,1
ESP1,firstName,lastname,testing@email.com,ESP1,thisisyourpass,192.168.0.111,pop1:pop2,0
ESP2,firstName,lastname,testing@email.com,ESP2,thisisyourpass,192.168.0.112,pop1:pop2,0
ESP3,firstName,lastname,testing@email.com,ESP3,thisisyourpass,192.168.0.113,pop1:pop2,1
ESP4,firstName,lastname,testing@email.com,ESP4,thisisyourpass,192.168.0.114,pop1:pop2,1
EST1,firstName,lastname,testing@email.com,EST1,thisisyourpass,192.168.0.115,pop1:pop2,1
EST2,firstName,lastname,testing@email.com,EST2,thisisyourpass,192.168.0.116,pop1:pop2,1
EST3,firstName,lastname,testing@email.com,EST3,thisisyourpass,192.168.0.117,pop1:pop2,1
EST4,firstName,lastname,testing@email.com,EST4,thisisyourpass,192.168.0.118,pop1:pop2,0
FIN1,firstName,lastname,testing@email.com,FIN1,thisisyourpass,192.168.0.119,pop1:pop2,1
FIN2,firstName,lastname,testing@email.com,FIN2,thisisyourpass,192.168.0.120,pop1:pop2,0
FIN3,firstName,lastname,testing@email.com,FIN3,thisisyourpass,192.168.0.121,pop1:pop2,1
FIN4,firstName,lastname,testing@email.com,FIN4,thisisyourpass,192.168.0.122,pop1:pop2,1
FRA1,firstName,lastname,testing@email.com,FRA1,thisisyourpass,192.168.0.123,pop1:pop2,0
FRA2,firstName,lastname,testing@email.com,FRA2,thisisyourpass,192.168.0.124,pop1:pop2,1
FRA3,firstName,lastname,testing@email.com,FRA3,thisisyourpass,192.168.0.125,pop1:pop2,1
FRA4,firstName,lastname,testing@email.com,FRA4,thisisyourpass,192.168.0.126,pop1:pop2,1
GBR1,firstName,lastname,testing@email.com,GBR1,thisisyourpass,192.168.0.127,pop1:pop2,0
GBR2,firstName,lastname,testing@email.com,GBR2,thisisyourpass,192.168.0.128,pop1:pop2,1
GBR3,firstName,lastname,testing@email.com,GBR3,thisisyourpass,192.168.0.129,pop1:pop2,1
GBR4,firstName,lastname,testing@email.com,GBR4,thisisyourpass,192.168.0.130,pop1:pop2,1
GEO1,firstName,lastname,testing@email.com,GEO1,thisisyourpass,192.168.0.131,pop1:pop2,1
GEO2,firstName,lastname,testing@email.com,GEO2,thisisyourpass,192.168.0.132,pop1:pop2,1
GEO3,firstName,lastname,testing@email.com,GEO3,thisisyourpass,192.168.0.133,pop1:pop2,0
GEO4,firstName,lastname,testing@email.com,GEO4,thisisyourpass,192.168.0.134,pop1:pop2,1
GHA1,firstName,lastname,testing@email.com,GHA1,thisisyourpass,192.168.0.135,pop1:pop2,0
GHA2,firstName,lastname,testing@email.com,GHA2,thisisyourpass,192.168.0.136,pop1:pop2,0
GHA3,firstName,lastname,testing@email.com,GHA3,thisisyourpass,192.168.0.137,pop1:pop2,1
GHA4,firstName,lastname,testing@email.com,GHA4,thisisyourpass,192.168.0.138,pop1:pop2,1
GRC1,firstName,lastname,testing@email.com,GRC1,thisisyourpass,192.168.0.139,pop1:pop2,1
GRC2,firstName,lastname,testing@email.com,GRC2,thisisyourpass,192.168.0.140,pop1:pop2,0
GRC3,firstName,lastname,testing@email.com,GRC3,thisisyourpass,192.168.0.141,pop1:pop2,0
GRC4,firstName,lastname,testing@email.com,GRC4,thisisyourpass,192.168.0.142,pop1:pop2,1
HKG1,firstName,lastname,testing@email.com,HKG1,thisisyourpass,192.168.0.143,pop1:pop2,0
HKG2,firstName,lastname,testing@email.com,HKG2,thisisyourpass,192.168.0.144,pop1:pop2,1
HKG3,firstName,lastname,testing@email.com,HKG3,thisisyourpass,192.168.0.145,pop1:pop2,1
HKG4,firstName,lastname,testing@email.com,HKG4,thisisyourpass,192.168.0.146,pop1:pop2,0
HRV1,firstName,lastname,testing@email.com,HRV1,thisisyourpass,192.168.0.147,pop1:pop2,0
HRV2,firstName,lastname,testing@email.com,HRV2,thisisyourpass,192.168.0.148,pop1:pop2,0
HRV3,firstName,lastname,testing@email.com,HRV3,thisisyourpass,192.168.0.149,pop1:pop2,0
HRV4,firstName,lastname,testing@email.com,HRV4,thisisyourpass,192.168.0.150,pop1:pop2,0
HUN1,firstName,lastname,testing@email.com,HUN1,thisisyourpass,192.168.0.151,pop1:pop2,0
HUN2,firstName,lastname,testing@email.com,HUN2,thisisyourpass,192.168.0.152,pop1:pop2,0
HUN3,firstName,lastname,testing@email.com,HUN3,thisisyourpass,192.168.0.153,pop1:pop2,0
HUN4,firstName,lastname,testing@email.com,HUN4,thisisyourpass,192.168.0.154,pop1:pop2,1
IDN1,firstName,lastname,testing@email.com,IDN1,thisisyourpass,192.168.0.155,pop1:pop2,1
IDN2,firstName,lastname,testing@email.com,IDN2,thisisyourpass,192.168.0.156,pop1:pop2,0
IDN3,firstName,lastname,testing@email.com,IDN3,thisisyourpass,192.168.0.157,pop1:pop2,1
IDN4,firstName,lastname,testing@email.com,IDN4,thisisyourpass,192.168.0.158,pop1:pop2,1
IND1,firstName,lastname,testing@email.com,IND1,thisisyourpass,192.168.0.159,pop1:pop2,1
IND2,firstName,lastname,testing@email.com,IND2,thisisyourpass,192.168.0.160,pop1:pop2,1
IND3,firstName,lastname,testing@email.com,IND3,thisisyourpass,192.168.0.161,pop1:pop2,0
IND4,firstName,lastname,testing@email.com,IND4,thisisyourpass,192.168.0.162,pop1:pop2,0
IRL1,firstName,lastname,testing@email.com,IRL1,thisisyourpass,192.168.0.163,pop1:pop2,0
IRL2,firstName,lastname,testing@email.com,IRL2,thisisyourpass,192.168.0.164,pop1:pop2,1
IRL3,firstName,lastname,testing@email.com,IRL3,thisisyourpass,192.168.0.165,pop1:pop2,1
IRL4,firstName,lastname,testing@email.com,IRL4,thisisyourpass,192.168.0.166,pop1:pop2,0
IRN1,firstName,lastname,testing@email.com,IRN1,thisisyourpass,192.168.0.167,pop1:pop2,1
IRN2,firstName,lastname,testing@email.com,IRN2,thisisyourpass,192.168.0.168,pop1:pop2,0
IRN3,firstName,lastname,testing@email.com,IRN3,thisisyourpass,192.168.0.169,pop1:pop2,1
IRN4,firstName,lastname,testing@email.com,IRN4,thisisyourpass,192.168.0.170,pop1:pop2,0
ISL1,firstName,lastname,testing@email.com,ISL1,thisisyourpass,192.168.0.171,pop1:pop2,0
ISL2,firstName,lastname,testing@email.com,ISL2,thisisyourpass,192.168.0.172,pop1:pop2,0
ISL3,firstName,lastname,testing@email.com,ISL3,thisisyourpass,192.168.0.173,pop1:pop2,0
ITA1,firstName,lastname,testing@email.com,ITA1,thisisyourpass,192.168.0.174,pop1:pop2,1
ITA2,firstName,lastname,testing@email.com,ITA2,thisisyourpass,192.168.0.175,pop1:pop2,0
ITA3,firstName,lastname,testing@email.com,ITA3,thisisyourpass,192.168.0.176,pop1:pop2,1
ITA4,firstName,lastname,testing@email.com,ITA4,thisisyourpass,192.168.0.177,pop1:pop2,0
JPN1,firstName,lastname,testing@email.com,JPN1,thisisyourpass,192.168.0.178,pop1:pop2,0
JPN2,firstName,lastname,testing@email.com,JPN2,thisisyourpass,192.168.0.179,pop1:pop2,1
JPN3,firstName,lastname,testing@email.com,JPN3,thisisyourpass,192.168.0.180,pop1:pop2,0
JPN4,firstName,lastname,testing@email.com,JPN4,thisisyourpass,192.168.0.181,pop1:pop2,0
KAZ1,firstName,lastname,testing@email.com,KAZ1,thisisyourpass,192.168.0.182,pop1:pop2,0
KAZ2,firstName,lastname,testing@email.com,KAZ2,thisisyourpass,192.168.0.183,pop1:pop2,0
KAZ3,firstName,lastname,testing@email.com,KAZ3,thisisyourpass,192.168.0.184,pop1:pop2,0
KAZ4,firstName,lastname,testing@email.com,KAZ4,thisisyourpass,192.168.0.185,pop1:pop2,1
KGZ1,firstName,lastname,testing@email.com,KGZ1,thisisyourpass,192.168.0.186,pop1:pop2,1
KGZ2,firstName,lastname,testing@email.com,KGZ2,thisisyourpass,192.168.0.187,pop1:pop2,1
KGZ3,firstName,lastname,testing@email.com,KGZ3,thisisyourpass,192.168.0.188,pop1:pop2,0
KGZ4,firstName,lastname,testing@email.com,KGZ4,thisisyourpass,192.168.0.189,pop1:pop2,1
KOR1,firstName,lastname,testing@email.com,KOR1,thisisyourpass,192.168.0.190,pop1:pop2,1
KOR2,firstName,lastname,testing@email.com,KOR2,thisisyourpass,192.168.0.191,pop1:pop2,0
KOR3,firstName,lastname,testing@email.com,KOR3,thisisyourpass,192.168.0.192,pop1:pop2,1
KOR4,firstName,lastname,testing@email.com,KOR4,thisisyourpass,192.168.0.193,pop1:pop2,1
LBY1,firstName,lastname,testing@email.com,LBY1,thisisyourpass,192.168.0.194,pop1:pop2,0
LBY2,firstName,lastname,testing@email.com,LBY2,thisisyourpass,192.168.0.195,pop1:pop2,0
LBY3,firstName,lastname,testing@email.com,LBY3,thisisyourpass,192.168.0.196,pop1:pop2,1
LBY4,firstName,lastname,testing@email.com,LBY4,thisisyourpass,192.168.0.197,pop1:pop2,0
LKA1,firstName,lastname,testing@email.com,LKA1,thisisyourpass,192.168.0.198,pop1:pop2,0
LKA2,firstName,lastname,testing@email.com,LKA2,thisisyourpass,192.168.0.199,pop1:pop2,1
LKA3,firstName,lastname,testing@email.com,LKA3,thisisyourpass,192.168.0.200,pop1:pop2,1
LKA4,firstName,lastname,testing@email.com,LKA4,thisisyourpass,192.168.0.201,pop1:pop2,0
LTU1,firstName,lastname,testing@email.com,LTU1,thisisyourpass,192.168.0.202,pop1:pop2,0
LTU2,firstName,lastname,testing@email.com,LTU2,thisisyourpass,192.168.0.203,pop1:pop2,0
LTU3,firstName,lastname,testing@email.com,LTU3,thisisyourpass,192.168.0.204,pop1:pop2,0
LTU4,firstName,lastname,testing@email.com,LTU4,thisisyourpass,192.168.0.205,pop1:pop2,1
LUX1,firstName,lastname,testing@email.com,LUX1,thisisyourpass,192.168.0.206,pop1:pop2,1
LUX2,firstName,lastname,testing@email.com,LUX2,thisisyourpass,192.168.0.207,pop1:pop2,0
LUX3,firstName,lastname,testing@email.com,LUX3,thisisyourpass,192.168.0.208,pop1:pop2,0
LUX4,firstName,lastname,testing@email.com,LUX4,thisisyourpass,192.168.0.209,pop1:pop2,0
LVA1,firstName,lastname,testing@email.com,LVA1,thisisyourpass,192.168.0.210,pop1:pop2,0
LVA2,firstName,lastname,testing@email.com,LVA2,thisisyourpass,192.168.0.211,pop1:pop2,0
LVA3,firstName,lastname,testing@email.com,LVA3,thisisyourpass,192.168.0.212,pop1:pop2,0
LVA4,firstName,lastname,testing@email.com,LVA4,thisisyourpass,192.168.0.213,pop1:pop2,1
MAC1,firstName,lastname,testing@email.com,MAC1,thisisyourpass,192.168.0.214,pop1:pop2,1
